Thana,District,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt,Accident_Severity
7,42,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,2,1,33,2,2,1
17,42,9,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,7,6,1,2,33,2,2,0
17,42,11,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,10,6,1,1,33,2,2,0
17,42,12,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,9,6,1,2,33,2,2,1
11,42,6,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,1,33,1,2,1
11,42,6,2001,2,3,2,2,1,1,1,1,1,1,1,5,1,1,8,6,1,2,30,2,2,0
11,42,7,2001,3,5,6,2,1,1,1,1,1,1,1,5,1,1,8,6,1,1,33,1,2,0
11,42,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,7,6,1,2,33,1,2,0
11,42,9,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,1,2,33,2,2,1
11,42,9,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,19,6,1,2,33,1,2,1
11,42,10,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,1,1,33,2,2,0
11,42,11,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,1,2,33,1,2,1
22,42,8,2001,3,1,5,2,1,1,1,1,1,1,1,5,1,1,10,6,1,1,33,1,0,0
22,42,8,2001,4,1,5,1,1,1,3,1,1,1,1,5,1,1,14,6,1,2,33,1,0,0
15,42,5,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,8,6,1,7,28,1,2,0
4,42,6,2001,2,2,8,2,1,1,2,1,1,1,1,5,1,1,8,6,1,2,33,1,2,1
4,42,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,2,2,33,2,2,0
4,42,8,2001,3,1,8,1,1,1,1,1,1,1,1,5,1,1,9,6,2,2,35,2,2,1
4,42,9,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,1,2,33,1,2,1
4,42,10,2001,1,1,1,2,2,1,3,1,1,1,1,5,1,1,14,6,2,2,33,2,2,0
1,54,1,2001,2,1,3,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,30,2,2,0
5,54,1,2001,3,1,1,2,2,1,1,1,1,3,1,4,1,2,19,4,1,1,33,2,2,0
2,54,1,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,38,2,2,1
7,54,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,7,6,1,1,25,2,2,3
3,54,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,8,6,1,2,33,2,2,3
8,56,2,2001,4,7,1,2,2,1,4,2,1,1,1,4,1,2,17,4,1,7,33,1,0,0
6,55,1,2001,3,3,1,2,2,1,1,1,1,1,1,3,1,2,4,6,1,2,33,1,2,0
9,54,2,2001,2,1,8,2,2,1,2,1,1,1,1,1,1,2,14,6,1,1,33,1,0,0
1,55,3,2001,2,1,4,2,2,1,1,1,1,1,1,5,1,1,7,6,1,1,27,2,2,3
1,55,3,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,14,6,1,1,35,2,2,1
8,54,3,2001,2,1,1,2,2,1,1,1,1,3,1,4,1,1,19,6,1,2,33,2,2,0
1,56,4,2001,2,3,1,2,2,1,1,2,1,1,1,5,1,1,17,1,1,1,35,2,2,1
1,55,4,2001,1,2,1,2,2,1,3,1,1,1,1,5,1,1,13,1,1,1,35,1,2,0
1,54,4,2001,3,1,1,2,2,1,1,3,1,1,1,5,1,1,14,5,1,2,33,2,2,0
3,53,5,2001,4,7,1,2,2,1,2,1,1,1,1,4,1,2,13,6,1,1,33,1,0,1
8,56,6,2001,2,3,1,2,2,1,1,3,1,1,1,4,1,2,13,6,1,1,32,2,2,0
9,54,6,2001,2,1,1,2,2,1,1,2,1,1,1,1,3,2,14,5,1,2,33,1,2,0
13,54,6,2001,3,1,1,2,2,2,1,2,2,1,1,3,1,2,14,6,1,1,33,2,2,1
12,54,7,2001,2,1,1,2,2,1,1,1,1,1,2,1,1,1,8,5,1,1,35,2,2,0
2,55,7,2001,3,7,8,1,2,1,1,3,1,1,1,4,1,1,13,11,1,1,35,2,2,0
1,55,8,2001,2,1,1,2,2,1,1,2,1,1,2,1,1,1,8,6,1,7,30,2,2,0
