Thana,District,Accident_Severity,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt
10,42,4,8,2001,3,3,6,2,1,1,1,1,1,1,1,5,1,1,8,6,,,,2,2
10,42,3,9,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,10,6,,,,,2
7,42,3,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,2,1,,2,2
17,42,4,9,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,7,6,1,,,2,2
17,42,4,11,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,10,6,1,1,,2,2
17,42,3,12,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,9,6,,,,2,2
11,42,3,6,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,1,,,2
11,42,4,6,2001,2,3,2,2,1,1,1,1,1,1,1,5,1,1,8,6,,,30,2,2
11,42,4,7,2001,3,5,6,2,1,1,1,1,1,1,1,5,1,1,8,6,1,1,,,2
11,42,4,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,7,6,,,,,2
11,42,3,9,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,,,,2,2
11,42,3,9,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,19,6,,,,,2
11,42,4,10,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,1,1,,2,2
11,42,3,11,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,,,,,2
22,42,4,8,2001,3,1,5,2,1,1,1,1,1,1,1,5,1,1,10,6,1,1,,,
22,42,4,8,2001,4,1,5,1,1,1,3,1,1,1,1,5,1,1,14,6,,,,,
15,42,4,5,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,8,6,1,7,28,1,2
4,42,3,6,2001,2,2,8,2,1,1,2,1,1,1,1,5,1,1,8,6,,,,1,2
4,42,4,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,2,,,2,2
4,42,3,8,2001,3,1,8,1,1,1,1,1,1,1,1,5,1,1,9,6,2,,35,2,2
4,42,3,9,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,,,,,2
4,42,4,10,2001,1,1,1,2,2,1,3,1,1,1,1,5,1,1,14,6,2,,,2,2
1,54,4,1,2001,2,1,3,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,30,2,2
5,54,4,1,2001,3,1,1,2,2,1,1,1,1,3,1,4,1,2,19,4,1,1,,2,2
2,54,3,1,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,38,2,2
7,54,1,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,7,6,1,1,25,2,2
3,54,1,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,8,6,1,,,2,2
8,56,4,2,2001,4,7,1,2,2,1,4,2,1,1,1,4,1,2,17,4,1,7,,,
6,55,4,1,2001,3,3,1,2,2,1,1,1,1,1,1,3,1,2,4,6,1,,,1,2
9,54,4,2,2001,2,1,8,2,2,1,2,1,1,1,1,1,1,2,14,6,1,1,,,
1,55,1,3,2001,2,1,4,2,2,1,1,1,1,1,1,5,1,1,7,6,1,1,27,2,2
1,55,3,3,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,14,6,1,1,35,2,2
8,54,4,3,2001,2,1,1,2,2,1,1,1,1,3,1,4,1,,19,6,,,,2,2
1,56,3,4,2001,2,3,1,2,2,1,1,2,1,1,1,5,1,1,17,1,1,1,35,2,2
1,55,4,4,2001,1,2,1,2,2,1,3,1,1,1,1,5,1,1,13,1,1,1,35,1,2
1,54,4,4,2001,3,1,1,2,2,1,1,3,1,1,1,5,1,1,14,5,1,,,2,2
3,53,3,5,2001,4,7,1,2,2,1,2,1,1,1,1,4,1,2,13,6,1,1,,,
8,56,4,6,2001,2,3,1,2,2,1,1,3,1,1,1,4,1,2,13,6,1,1,32,2,2
9,54,4,6,2001,2,1,1,2,2,1,1,2,1,1,1,1,3,2,14,5,,,,1,2
13,54,3,6,2001,3,1,1,2,2,2,1,2,2,1,1,3,1,2,14,6,1,1,,2,2
12,54,4,7,2001,2,1,1,2,2,1,1,1,1,1,2,1,1,1,8,5,1,1,35,2,2
2,55,4,7,2001,3,7,8,1,2,1,1,3,1,1,1,4,1,1,13,11,1,1,35,2,2
1,55,4,8,2001,2,1,1,2,2,1,1,2,1,1,2,1,1,1,8,6,1,7,30,2,2
1,54,3,8,2001,2,3,1,2,2,1,1,1,1,1,1,1,1,2,13,6,1,1,28,2,2
6,54,3,8,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,,,,,
12,54,4,8,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,8,5,,,,,
6,55,4,9,2001,3,1,1,2,2,1,1,1,1,1,1,4,2,2,14,6,1,1,,2,2
1,54,4,9,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,14,6,,,,,
12,54,1,9,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,8,6,1,1,30,2,2
1,54,3,10,2001,1,1,1,2,2,1,,5,1,1,1,4,1,2,6,6,,,35,2,2
5,54,3,10,2001,2,3,1,2,2,1,1,3,1,1,1,4,4,2,13,7,,,,,
